subject,start,end,location,organizer,attendeesCount,classification,confidence,classificationReasons
יום עיון רישיון מלגזה,2026-01-15T08:30:00.0000000,2026-01-15T16:00:00.0000000,אל יוחנן הסנדלר 6: https://waze.com/ul/hsv8z4c3e6,yoram@galit.co.il,1,UNKNOWN,0,אין signals מספקים — UNKNOWN
יום מעשי מלגזה ,2026-01-16T08:30:00.0000000,2026-01-16T12:00:00.0000000, יוחנן הסנדלר 6: https://waze.com/ul/hsv8z4c3e6,yoram@galit.co.il,1,UNKNOWN,0,אין signals מספקים — UNKNOWN
בדיקת קרינה ELF במפעל אסם- צבר + טבעול בקרית גת,2026-01-18T10:00:00.0000000,2026-01-18T12:30:00.0000000,אסם קרית גת,yoram@galit.co.il,1,FIELD_TASK,0.7,מילות מפתח שטח ב-subject: בדיקת קרינה
סקר אסבסט,2026-01-19T10:30:00.0000000,2026-01-19T11:30:00.0000000,החרוב 11 רשפון,uri@galit.co.il,2,FIELD_TASK,0.9,מילות מפתח שטח ב-subject: סקר | location מכיל דפוס רחוב+מספר+עיר
עבודות פריקה במחסן,2026-01-20T06:30:00.0000000,2026-01-20T18:30:00.0000000,,yoram@galit.co.il,1,OFFICE_TASK,0.35,
עד מומחה בבית משפט על אסבסט,2026-01-21T09:00:00.0000000,2026-01-21T11:00:00.0000000,"יגאל אלון 126, תל אביב",yoram@galit.co.il,1,UNKNOWN,0,אין signals מספקים — UNKNOWN
סקר אסבסט,2026-01-22T08:00:00.0000000,2026-01-22T09:00:00.0000000,הראשונים 24 רמת גן,uri@galit.co.il,2,FIELD_TASK,0.9,מילות מפתח שטח ב-subject: סקר | location מכיל דפוס רחוב+מספר+עיר
"בדיקת קרינה ELF + RF בביה""ס השחר ברחובות עבור עיריית רחובות- הבדיקה בנוכחות יניב ירימי + ישראל רכז ביה""ס- חשוב להם מאוד",2026-01-22T12:00:00.0000000,2026-01-22T13:00:00.0000000,דוד אליעזר 19 רחובות,yoram@galit.co.il,1,FIELD_TASK,0.9,מילות מפתח שטח ב-subject: בדיקת קרינה | location מכיל דפוס רחוב+מספר+עיר
בדיקת קרינה בבית במשמר דוד - קרינה ממתח גבוה - מסר פרטי כרטיס אשראי,2026-01-22T14:30:00.0000000,2026-01-22T15:30:00.0000000,חופים 36 משמר דוד,yoram@galit.co.il,1,FIELD_TASK,0.9,מילות מפתח שטח ב-subject: בדיקת קרינה | location מכיל דפוס רחוב+מספר+עיר
"בדיקת קרינה ELF עבור פריוריטי סופטוור - 850 ש""ח + מע""מ",2026-01-26T11:00:00.0000000,2026-01-26T12:00:00.0000000,עמל 2 ראש העין,yoram@galit.co.il,1,FIELD_TASK,0.9,מילות מפתח שטח ב-subject: בדיקת קרינה | location מכיל דפוס רחוב+מספר+עיר
